Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-19 00:00:00-04:00,307.7132209495945,309.8719053836384,303.31730709863126,308.8710632324219,23568600,0.0,0.0
2025-09-22 00:00:00-04:00,303.9845547856156,307.811369607681,303.74906954538335,306.57501220703125,7520200,0.0,0.0
2025-09-23 00:00:00-04:00,305.9666713344998,310.37237762039473,304.7499276588244,306.869384765625,8584400,0.0,0.0
2025-09-24 00:00:00-04:00,308.15473925887954,310.6372456892681,305.8194410309901,307.5365905761719,7310500,0.0,0.0
2025-09-25 00:00:00-04:00,308.22347685107957,309.7247551863121,305.947019653492,307.5660705566406,7083200,0.0,0.0
2025-09-26 00:00:00-04:00,308.9888161441515,311.8441943720275,307.8113600348933,310.1270446777344,7258100,0.0,0.0
2025-09-29 00:00:00-04:00,311.10828573544467,312.0404647281687,307.7721150397051,309.7640075683594,6462400,0.0,0.0
2025-09-30 00:00:00-04:00,310.31346452838187,311.45169300349573,304.28870810842403,309.50885009765625,11823300,0.0,0.0
2025-10-01 00:00:00-04:00,308.07628613361976,308.68464295873514,301.6394301376976,304.8774719238281,9235200,0.0,0.0
2025-10-02 00:00:00-04:00,304.1808160870063,304.73030161726365,300.39328868596704,301.77679443359375,7600000,0.0,0.0
2025-10-03 00:00:00-04:00,302.718779227698,305.80964265751953,302.4243927447969,304.2102355957031,6029900,0.0,0.0
2025-10-06 00:00:00-04:00,305.8371035459471,307.38512889871987,300.8578215934895,304.8511047363281,7214500,1.5,0.0
2025-10-07 00:00:00-04:00,305.01875022701944,305.66951307877287,300.43386159315816,303.3819885253906,8454200,0.0,0.0
2025-10-08 00:00:00-04:00,303.894722712774,304.4567493262524,299.2999640741864,299.77325439453125,6489900,0.0,0.0
2025-10-09 00:00:00-04:00,300.77893750215213,303.7270945284432,299.1422058887319,301.2522277832031,7060300,0.0,0.0
2025-10-10 00:00:00-04:00,301.3804193716138,306.1230715472904,296.5983188157025,296.6772155761719,8597400,0.0,0.0
2025-10-13 00:00:00-04:00,301.321238204041,305.1271791148808,301.17334440263704,303.6580505371094,10788700,0.0,0.0
2025-10-14 00:00:00-04:00,301.5578902761218,302.70165257420854,290.0907186231138,297.85052490234375,16178800,0.0,0.0
2025-10-15 00:00:00-04:00,302.1001843350741,307.7499381556482,301.1634734465224,301.40997314453125,11354800,0.0,0.0
2025-10-16 00:00:00-04:00,301.0747572360179,304.3581201926382,292.9106878973514,294.360107421875,10549400,0.0,0.0
2025-10-17 00:00:00-04:00,294.97143359875633,295.3559575215809,290.08088749555986,293.3938293457031,10153500,0.0,0.0
2025-10-20 00:00:00-04:00,294.32064593592156,299.43798218705626,293.9854099500461,298.1265869140625,6894900,0.0,0.0
2025-10-21 00:00:00-04:00,297.436411288458,299.7929328501146,292.8416531202475,292.9303894042969,7372700,0.0,0.0
2025-10-22 00:00:00-04:00,293.6008552074487,293.8868032880077,286.4721030595595,289.9920959472656,8054100,0.0,0.0
2025-10-23 00:00:00-04:00,290.25834375227123,292.2204718178062,288.4145307332595,290.4161071777344,5438800,0.0,0.0
2025-10-24 00:00:00-04:00,291.93451945757295,298.36325106738366,291.31336547241364,296.2334899902344,7228300,0.0,0.0
2025-10-27 00:00:00-04:00,297.92941246883,300.2662249001909,296.7955198233114,299.89154052734375,5642200,0.0,0.0
2025-10-28 00:00:00-04:00,300.59159530101573,303.6580673748709,298.915415308335,301.0845947265625,6336000,0.0,0.0
2025-10-29 00:00:00-04:00,299.2605157595805,303.93414060421026,298.7675163425421,301.2325134277344,7520300,0.0,0.0
2025-10-30 00:00:00-04:00,301.50859316866377,308.2330823767899,300.82825156305904,305.10748291015625,7514600,0.0,0.0
2025-10-31 00:00:00-04:00,304.22008283002725,308.4894444595929,302.9481359332913,306.7639465332031,7721300,0.0,0.0
2025-11-03 00:00:00-05:00,306.6456604912348,307.9471862719047,301.9227172950412,305.0187683105469,7770000,0.0,0.0
2025-11-04 00:00:00-05:00,302.415720333495,307.84858401169095,300.82827651560933,304.920166015625,7085200,0.0,0.0
2025-11-05 00:00:00-05:00,305.27510663609064,308.7162632770978,301.35085025066564,307.3161315917969,6865200,0.0,0.0
2025-11-06 00:00:00-05:00,306.6357687557767,310.4318702971036,305.9160088624015,309.0317687988281,7206100,0.0,0.0
2025-11-07 00:00:00-05:00,307.5232049313688,310.0276204199649,303.3327096940284,309.8106994628906,7302300,0.0,0.0
2025-11-10 00:00:00-05:00,310.5896337890794,315.08578608051664,309.8106862822301,312.45318603515625,5794100,0.0,0.0
2025-11-11 00:00:00-05:00,313.0546102409576,314.58289630207906,310.86569176259013,311.200927734375,5030200,0.0,0.0
2025-11-12 00:00:00-05:00,311.83200002815875,317.7381233989844,311.782682032414,315.92388916015625,10578300,0.0,0.0
2025-11-13 00:00:00-05:00,314.7604626322791,316.14085517487956,304.77228823247975,305.14697265625,8973300,0.0,0.0
2025-11-14 00:00:00-05:00,303.20448907001065,303.3326737235763,297.012418045434,299.35906982421875,10327000,0.0,0.0
2025-11-17 00:00:00-05:00,299.74363974118836,301.31137424610444,293.5022804823602,296.1644592285156,8344000,0.0,0.0
2025-11-18 00:00:00-05:00,295.3066623130797,298.70837045931603,292.8613742767781,295.2179260253906,8077300,0.0,0.0
2025-11-19 00:00:00-05:00,295.54325979633944,300.18733563828084,295.0798391737984,299.0238342285156,5546600,0.0,0.0
2025-11-20 00:00:00-05:00,302.05087369332443,305.5807663052954,293.9854105998292,294.20233154296875,7501600,0.0,0.0
2025-11-21 00:00:00-05:00,297.0715864028587,297.456110287291,288.71030575970536,293.84735107421875,11766800,0.0,0.0
2025-11-24 00:00:00-05:00,294.0642973394352,295.6221924256846,290.386540762355,293.8276672363281,10940200,0.0,0.0
2025-11-25 00:00:00-05:00,295.848951187077,300.236658228506,291.42182585555855,298.7576599121094,8877200,0.0,0.0
2025-11-26 00:00:00-05:00,300.7296512123902,304.21022597199055,298.95486530692773,303.33270263671875,7910900,0.0,0.0
2025-11-28 00:00:00-05:00,304.7722465716023,309.3275563846455,303.9242719247256,308.6965026855469,4322400,0.0,0.0
2025-12-01 00:00:00-05:00,308.5683309692949,309.6430660312097,304.2200727283419,304.5947570800781,7727300,0.0,0.0
2025-12-02 00:00:00-05:00,304.4172805196406,306.1329390093465,302.7903884074122,303.5693359375,7249000,0.0,0.0
2025-12-03 00:00:00-05:00,302.89885953876745,307.98658713845214,302.50443592551073,307.75982666015625,8535300,0.0,0.0
2025-12-04 00:00:00-05:00,308.8740221323167,314.0307770729326,308.61765279183703,311.67425537109375,9627800,0.0,0.0
2025-12-05 00:00:00-05:00,311.22069468967254,314.02092784192007,310.2741141188276,310.62908935546875,6518900,0.0,0.0
2025-12-08 00:00:00-05:00,310.64879808375287,312.0390600856641,308.96274846028484,310.79669189453125,7417200,0.0,0.0
2025-12-09 00:00:00-05:00,310.5403783790639,314.336450228146,295.8193913272319,296.30255126953125,18049200,0.0,0.0
2025-12-10 00:00:00-05:00,296.292632599085,306.8329619363725,294.2811866679717,305.76806640625,18874100,0.0,0.0
2025-12-11 00:00:00-05:00,304.9102649889192,313.5476242674454,304.9102649889192,312.9363098144531,9721900,0.0,0.0
2025-12-12 00:00:00-05:00,315.2041261224818,315.7858618718594,312.16726270211575,314.06036376953125,8982900,0.0,0.0
2025-12-15 00:00:00-05:00,315.11539535630396,318.35934027084556,313.9322146909975,315.53936767578125,10864100,0.0,0.0
2025-12-16 00:00:00-05:00,314.62240273148194,315.0463750601788,309.99806522837446,311.1319580078125,8331300,0.0,0.0
2025-12-17 00:00:00-05:00,313.97159360923496,314.8984348971578,310.254388930852,310.5699157714844,8718700,0.0,0.0
2025-12-18 00:00:00-05:00,311.575672673722,313.2518829489097,307.8485977928193,308.61767578125,11444900,0.0,0.0
2025-12-19 00:00:00-05:00,309.39657764946713,314.099781180705,308.8049723403709,312.7686767578125,24494400,0.0,0.0
2025-12-22 00:00:00-05:00,313.0644852104395,318.7043994886834,313.0644852104395,318.56634521484375,8354600,0.0,0.0
2025-12-23 00:00:00-05:00,319.07908304324746,323.1907116116738,318.56637445826755,321.3666076660156,6668300,0.0,0.0
2025-12-24 00:00:00-05:00,321.6722493328215,325.36974495293686,320.9426198260136,324.5612487792969,4289300,0.0,0.0
2025-12-26 00:00:00-05:00,324.502058709128,326.2275566521161,321.96806459862194,323.3188781738281,4158300,0.0,0.0
2025-12-29 00:00:00-05:00,322.4216288798564,323.1808371734579,319.0002116144308,319.2171325683594,8635300,0.0,0.0
2025-12-30 00:00:00-05:00,320.2623075229155,320.39049219725354,317.97478280166575,318.89178466796875,7904300,0.0,0.0
2025-12-31 00:00:00-05:00,319.79886991908165,320.3313177342217,317.5310845539587,317.70855712890625,5048500,0.0,0.0
2026-01-02 00:00:00-05:00,317.9846252281575,321.1694123071354,316.2492576445291,320.92291259765625,8054000,0.0,0.0
2026-01-05 00:00:00-05:00,320.94265867445506,332.52814635317964,320.63700140675104,329.36309814453125,10752600,0.0,0.0
2026-01-06 00:00:00-05:00,329.44229029813283,332.6612412306879,327.49110960074296,331.41326904296875,7660800,1.5,0.0
